Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11285,2022-10-27,0.1914141966,0.0814505271,0.0917610964,21,100
Market-Adjusted Model,11292,2022-10-27,-0.050031659,-0.138132215,-0.149684759,21,100
Market-Adjusted Model,11293,2022-10-27,0.1273727996,0.0243075768,0.0277196995,21,100
Market-Adjusted Model,11308,2022-10-27,0.1040986917,0.0023716318,0.0044455916,21,100
Market-Adjusted Model,11368,2022-10-27,0.0606819972,-0.031291014,-0.038971103,21,100
Market-Adjusted Model,11369,2022-10-27,0.1874660814,0.0776467898,0.0878129813,21,100
Market-Adjusted Model,11370,2022-10-27,0.2194269259,0.1098414634,0.1197738258,21,100
Market-Adjusted Model,11379,2022-10-27,0.1972318015,0.092918734,0.0975787013,21,100
Market-Adjusted Model,11394,2022-10-27,-0.630997722,-0.877891302,-0.730650822,21,100
Market-Adjusted Model,11397,2022-10-27,0.0477815216,-0.048543905,-0.051871579,21,100
Market-Adjusted Model,11403,2022-10-27,0.0949517018,0.0013430056,-0.004701398,21,100
Market-Adjusted Model,11404,2022-10-27,0.1444569713,0.0384992247,0.0448038712,21,100
Market-Adjusted Model,11407,2022-10-27,0.1130953023,0.014368254,0.0134422022,21,100
Market-Adjusted Model,11442,2022-10-27,0.0991453093,-0.001173319,-0.000507791,21,100
Market-Adjusted Model,11481,2022-10-27,0.238043538,0.19785906,0.1383904379,21,100
Market-Adjusted Model,11499,2022-10-27,0.2373417745,0.1239501732,0.1376886744,21,100
Market-Adjusted Model,11511,2022-10-27,0.1404682552,0.0397453461,0.0408151551,21,100
Market-Adjusted Model,11533,2022-10-27,0.4353952172,0.3097474195,0.335742117,21,100
Market-Adjusted Model,11547,2022-10-27,0.0771171426,-0.010506224,-0.022535958,21,100
Market-Adjusted Model,11565,2022-10-27,-0.12162162,-0.201228846,-0.221274721,21,100
Market-Adjusted Model,11581,2022-10-27,0.2931862071,0.1631528311,0.193533107,21,100
Market-Adjusted Model,11587,2022-10-27,0.1687034045,0.0668562752,0.0690503044,21,100
Market-Adjusted Model,11593,2022-10-27,0.1167593453,0.0216026662,0.0171062452,21,100
Market-Adjusted Model,11600,2022-10-27,0.0806566824,-0.0115998,-0.018996418,21,100
Market-Adjusted Model,11618,2022-10-27,0.143300671,0.0427258213,0.0436475709,21,100
